name,price,visual_appeal,popularity
cookie,6.35,7,6
cake,1.96,4,6
donut,7.56,10,10
pie,9.1,3,1
bread,1.49,1,3
pie,7.22,6,10
pie,5.18,8,9
muffin,8.06,5,4
donut,6.74,8,5
muffin,3.21,3,1
pie,4.23,5,2
pie,4.4,10,7
scone,7.06,2,6
cake,5.79,1,3
muffin,6.26,4,7
brownie,9.02,4,10
pastry,9.6,1,5
cupcake,2.51,7,10
pastry,5.73,5,5
cake,1.34,2,10
pie,8.16,6,5
pastry,1.35,5,6
cake,2.27,1,7
pie,7.83,9,1
cookie,1.83,7,5
cake,2.18,1,9
cookie,7.65,2,8
pastry,5.57,9,10
scone,8.48,6,9
donut,9.74,10,2
muffin,8.48,10,6
cupcake,5.04,10,5
pie,5.83,6,8
donut,3.16,10,7
brownie,7.96,2,2
muffin,3.21,3,8
scone,9.26,3,10
cookie,1.53,7,8
donut,7.15,7,10
muffin,1.57,3,7
brownie,1.57,4,5
pastry,9.59,5,2
cake,9.97,2,3
bread,2.51,1,5
cake,7.38,7,8
cookie,5.36,10,2
cupcake,4.63,3,5
pie,9.03,4,1
pastry,8.89,7,1
cookie,7.44,2,7
cupcake,9.34,2,1
scone,8.68,6,2
cookie,3.59,4,9
brownie,3.42,3,5
cake,5.37,9,4
pastry,1.7,10,9
muffin,1.2,7,10
muffin,4.37,9,9
donut,3.0,8,2
donut,7.18,2,4
donut,7.02,1,4
donut,2.1,2,3
bread,1.99,1,5
cake,5.99,4,8
brownie,2.26,4,2
bread,6.49,6,9
pie,9.6,3,1
scone,9.92,9,8
scone,7.34,4,7
muffin,6.79,8,1
cake,9.62,4,4
cookie,3.64,8,6
donut,1.89,7,10
cake,9.71,7,2
brownie,5.55,6,5
pie,9.51,2,10
pie,3.49,7,5
pie,1.02,8,9
muffin,8.72,6,6
cupcake,8.24,8,7
cookie,3.29,5,10
donut,2.9,7,10
brownie,2.33,8,9
cupcake,3.46,1,10
cookie,9.79,1,6
cupcake,8.72,8,6
cupcake,1.08,5,6
muffin,6.31,6,9
brownie,5.22,9,6
cupcake,9.12,7,5
scone,2.91,10,2
brownie,8.98,5,8
pastry,3.5,10,6
cake,5.77,2,8
pastry,9.11,9,2
pie,7.93,1,1
bread,5.5,9,10
donut,5.55,7,10
pastry,3.87,3,8
cupcake,8.23,5,8
brownie,9.51,3,8
pastry,1.11,3,5
pie,4.07,2,9
pastry,3.17,2,6
cookie,6.2,2,5
muffin,7.51,8,10
cake,9.13,8,2
bread,4.19,7,4
bread,7.21,10,3
pastry,4.89,8,1
bread,4.23,8,10
cake,1.93,5,2
bread,7.26,1,10
pastry,2.92,7,10
muffin,4.07,4,2
donut,7.52,8,6
bread,1.18,3,7
pastry,2.83,6,10
scone,8.78,10,3
cookie,2.21,6,6
cake,4.18,3,6
scone,9.38,1,1
pie,5.5,1,1
pastry,9.02,8,7
cupcake,8.59,2,3
cake,5.37,2,6
donut,7.55,3,8
scone,2.79,9,8
muffin,8.83,3,10
bread,2.64,3,3
cake,5.58,7,8
donut,9.76,6,5
donut,1.82,6,8
cupcake,9.96,9,2
bread,7.29,8,3
cake,8.69,4,8
scone,8.35,9,2
brownie,3.08,7,1
cupcake,1.77,1,7
muffin,1.06,3,4
pastry,8.99,6,1
bread,3.59,5,10
donut,5.27,3,6
cupcake,1.5,7,5
pastry,8.42,1,2
pie,4.89,4,6
scone,1.88,3,5
brownie,3.42,6,7
cake,8.16,7,1
brownie,7.2,6,3
scone,7.63,8,1
muffin,6.32,10,4
cake,9.96,1,2
cake,7.1,1,2
cookie,4.38,7,10
cake,4.36,1,4
pastry,2.42,4,1
brownie,9.62,3,9
scone,7.72,7,2
pastry,6.26,4,6
pastry,7.54,9,4
cookie,9.6,5,10
cupcake,9.12,1,1
donut,9.49,2,4
bread,3.55,10,3
scone,4.96,5,3
donut,8.89,7,9
muffin,8.3,9,8
muffin,6.34,4,7
brownie,6.48,4,8
donut,9.88,10,4
cupcake,4.22,4,6
muffin,1.92,6,2
donut,8.12,1,5
scone,2.76,8,1
cookie,7.39,10,9
cookie,9.09,6,5
cake,3.15,5,6
scone,7.78,7,7
donut,7.45,9,10
bread,7.49,10,9
bread,3.23,2,2
bread,5.51,5,3
scone,9.17,6,8
cake,6.09,7,7
scone,9.51,9,6
donut,5.42,1,1
cupcake,9.77,8,9
brownie,3.18,5,7
cupcake,9.75,10,5
scone,5.98,5,3
brownie,6.43,5,10
bread,8.58,7,3
cake,5.33,1,6
bread,6.88,3,3
muffin,6.92,8,3
donut,7.26,10,2
pie,7.56,10,6
cupcake,7.42,1,7
bread,1.22,8,1
cookie,1.79,3,2
scone,6.22,2,10
donut,9.01,5,7
donut,5.88,10,9
pie,6.15,1,3
cake,3.1,8,7
bread,8.36,8,1
scone,9.63,5,5
muffin,8.94,6,3
muffin,9.65,5,6
cupcake,7.81,3,4
cake,5.96,6,3
pie,6.09,10,7
donut,7.01,3,3
pie,8.96,4,2
pie,3.7,9,3
scone,1.29,8,10
brownie,6.15,1,1
scone,6.68,1,2
brownie,6.9,1,5
muffin,6.04,7,9
muffin,5.88,4,4
cake,1.28,10,8
cookie,6.89,1,2
muffin,2.32,7,2
pie,9.21,3,10
donut,8.19,10,8
cake,6.08,6,9
cupcake,6.46,1,6
cake,9.13,7,3
cookie,8.11,7,4
cake,2.17,9,8
pastry,4.61,6,9
bread,8.57,5,10
scone,5.54,3,9
pie,8.3,1,5
pastry,4.24,4,5
donut,4.73,4,2
cupcake,5.78,5,9
pie,9.28,2,4
bread,3.05,6,8
scone,2.34,7,3
scone,5.83,5,3
cake,1.21,2,10
donut,2.66,5,5
brownie,4.58,6,1
donut,8.85,7,8
bread,7.76,3,7
pastry,2.66,8,8
muffin,2.95,7,5
cake,8.26,9,2
pie,7.86,2,7
muffin,6.33,6,2
cupcake,6.57,4,1
brownie,8.24,1,2
cookie,3.42,4,4
muffin,3.66,2,3
cookie,4.48,4,8
donut,6.06,5,8
cupcake,5.48,6,2
cupcake,3.62,8,7
donut,7.96,1,9
pie,8.19,8,7
cupcake,2.46,8,10
muffin,9.78,10,2
brownie,4.31,6,10
